Type,Hit points,Damage, Miss Arm,Blade Arm,Imp Arm,Walk ,Run,Points,Gold Cost,Honour Cost,Rank,Wood cost,Stone cost,Pitch cost,Glory  cost,Destroyed Hps

TYPE_TROOPS,,,,,,,,,,,,,,,,
Spearman,3000,6,1,1,1,2,4,6,6,,Knight,,,,,
Archer,3000,2,1,2,2,2,5,8,12,,Knight,,,,,
Crossbowman,6000,2,0.5,1.2,1.2,1.5,2.5,12,12,,baron,,,,,
Pikeman,18000,4,0.5,0.15,0.15,1.5,2.5,12,10,,champion,,,,,
Maceman,6000,15,0.75,0.5,0.5,3,8,12,10,,duke,,,,,
Swordsman,15000,20,0.1,0.25,0.25,1,2,20,40,5,earl,,,,,
Knight,20000,70,0.06,0.2,0.2,1,2,100,200,50,king,,,,,
Lord,25000,100,0.04,0.2,0.2,1,2,150,,,,,,,,

Engineer,2000,1,1,1,1,2,4,1,30,,champion,,,,,
Ladderman,1500,1,1,1,1,2,6,1,4,,Knight,,,,,

LightCavalry,2000,8,0.33,1,1,4,7,10,40,,king,,,,,
Outlaw,4000,10,1,1,1,2,4,14,60,,king
BoatWarrior,3000,8,1,1,1,1.5,2.5,6,30,,king

Merlin,12000,10,0.5,1,1,1,2.5,150,0,200,duke
Arthur,25000,100,0.04,0.2,0.2,1,2,150,,,king
Lancelot,20000,70,0.06,0.2,0.2,1,2,150,500,125,champion
Bedivere,20000,70,0.06,0.2,0.2,1,2,150,500,125,prince
Percivale,20000,70,0.06,0.2,0.2,1,2,150,500,200,prince
Galahad,20000,70,0.06,0.2,0.2,1,2,150,500,150,baron
Bors,20000,70,0.06,0.2,0.2,1,2,150,500,100,earl
Gareth,20000,70,0.06,0.2,0.2,1,2,150,500,100,earl
Gawain,20000,70,0.06,0.2,0.2,1,2,150,500,100,earl
GoodDragon,30000,50,0.05,0.25,0.25,3,6,150,1000,250,king

Vlad,25000,100,0.04,0.2,0.2,1,2,150,,,king
Demon,4000,4,1,1,1,3,5,12,5,4,prince
SaxonWarrior,10000,10,0.5,0.5,0.5,2,4,14,30,8,earl
SaxonWarlord,12000,12,0.5,0.5,0.5,2,4,15,30,8,king
BlackDog,5000,9,1,1,1,3,9,8,15,4,champion
Crawler,6000,30,0.01,1,1,2,4,40,200,75,prince
Werewolf,15000,25,1,1,1,3,8,15,50,10,earl
BlackDragon,25000,50,0.05,0.25,0.25,3,6,150,750,250,king
GiantDemonicBat,10000,5,0.75,0.75,0.75,3,6,12,150,15,baron
Sorcerer,10000,10,0.5,1,1,1.5,2.5,100,400,100,duke


Dietrich,25000,100,0.04,0.2,0.2,1.5,2.5,150,,,king
Hilderbrund,25000,100,0.04,0.2,0.2,1.5,2.5,150,,,king
Siegfried,25000,100,0.04,0.2,0.2,1.5,2.5,150,,,king
IceMaiden,10000,10,0.3,0.5,0.5,2,4,14,50,10,earl
PolarBear,20000,30,0.25,0.4,0.4,1.5,3,40,100,20,earl
WhiteWolf,4000,8,1,1,1,3,9,8,15,5,champion
FrostGiant,40000,60,0.1,0.5,0.5,3,6,100,200,100,prince
Dwarf,6000,8,0.25,0.25,0.25,1.5,2.5,15,80,5,prince
IceQueen,20000,10,0.5,1,1,1.5,2.5,100,500,200,duke
WhiteWitch,4000,6,1,1,1,2.5,5,10,25,10,baron
WhiteDragon,30000,50,0.05,0.25,0.25,3,6,150,1000,250,king


TYPE_SIEGEKIT,,,,,,,,,,,

Ballista,1000,0,0.5,1,1,0,0,0,100,,prince
BatteringRam,10000,0,0.05,1,1,1,0.5,0,150,,earl
Cat,6000,0,0.05,1,1,1,1,0,100,,prince
Catapult,1000,0,0.04,1,1,2,1,0,200,,duke
FireBallista,1000,0,0.07,1,1,2,1,0,150,,prince
Mangonel,1000,0,0.5,1,1,0,0,0,200,,earl
SiegeTowerSmall,30000,0,0.07,1,1,1.5,0.5,0,150,,baron
Trebuchet,500,0,0.02,1,1,2.5,2,0,500,,king
BurningCart,500,0,0.2,1,1,3,2.5,0,70,,baron
Mantlet,3000,0,0.08,1,1,2.5,5,0,10,,baron
StakeHurler,2000,0,0.04,1,1,2,2,0,250,,duke
DragonHarpoon,1000,0,0.5,1,1,0,0,0,250,,baron
WerewolfLauncher,1000,0,0.02,1,1,2,2,0,100,,earl
InfernalBalls,1000,0,0.04,1,1,2,2,0,200,,king


TYPE_WALLMOUNTED,,,,,,,,,,,

BurningLogTipper,1000,0,0.25,1,1,0,0,0,200,,duke
BlackDrake,1000,0,0.25,1,1,0,0,0,100,,king
IceMirror,1000,0,0.25,1,1,0,0,0,200,,king
OilTipper,1000,0,0.25,1,1,0,0,0,200,,king
Brazier,1000,0,0.25,1,1,0,0,0,50,,baron

